,x,Freq,Prop,CumProportion,skill_level,label
1,(Senior) Consultant for Data Science,2,0.38%,0.38%,senior,data scientist
2,"2VP, Data Solutions Leader",1,0.19%,0.57%,senior,data science manager
3,Adjunct Faculty-Data Science,1,0.19%,0.76%,senior,data scientist
4,"Advisor, Data Science",3,0.56%,1.32%,senior,data scientist
5,Analyst - Data Science,1,0.19%,1.51%,intermediate,data analyst
6,Analyst - Retailer Data,1,0.19%,1.70%,intermediate,data analyst
7,Analyst Data Science,1,0.19%,1.89%,intermediate,data analyst
8,"Analyst, Data Science/Operations Research",1,0.19%,2.08%,intermediate,data analyst
9,Analytics & Data Science Lead,1,0.19%,2.27%,senior,data scientist
10,Associate Computational Biologist - Data Science,1,0.19%,2.46%,intermediate,data scientist
11,Associate Computational Biologist II - Data Science,1,0.19%,2.65%,intermediate,data scientist
12,Associate Data Engineer,1,0.19%,2.84%,intermediate,data engineer
13,Associate Data Science Consultant,1,0.19%,3.03%,intermediate,data scientist
14,"Associate Director, Data Science",1,0.19%,3.22%,senior,data science manager
15,"AVP, Data Science",1,0.19%,3.41%,senior,data science manager
16,Big Data & Data Science Intern,1,0.19%,3.60%,intern,data scientist
17,Big Data Architect,1,0.19%,3.79%,intermediate,data engineer
18,Big Data BI Architect,1,0.19%,3.98%,intermediate,data engineer
19,Big Data Engineer,1,0.19%,4.17%,intermediate,data engineer
20,Big Data System Infrastructure Engineer,1,0.19%,4.36%,intermediate,data engineer
21,"Business Engineer, Data Science",1,0.19%,4.55%,intermediate,data engineer
22,Business Intelligence - Data Engineer,1,0.19%,4.74%,intermediate,data engineer
23,Clinical Data Associate,1,0.19%,4.93%,intermediate,data scientist
24,Codecademy Advisor: Data Science,1,0.19%,5.12%,senior,data scientist
25,Computer Science Intern,1,0.19%,5.31%,intern,data analyst
26,"Core Software Developer, Center for Clinical Data Science",1,0.19%,5.50%,intermediate,software developer
27,CRM Data Analyst,1,0.19%,5.69%,intermediate,data analyst
28,Data Analyst,13,2.45%,8.14%,intermediate,data analyst
29,Data Analyst - Case Specialist,1,0.19%,8.33%,intermediate,data analyst
30,Data Analyst - Entry Level,1,0.19%,8.52%,entry level,data analyst
31,Data Analyst I,1,0.19%,8.71%,entry level,data analyst
32,Data Analyst Intern,1,0.19%,8.90%,intern,data analyst
33,"Data Analyst, Insight",1,0.19%,9.09%,intermediate,data analyst
34,Data Analytics Specialist,1,0.19%,9.28%,intermediate,data analyst
35,Data and Analytics Manager,1,0.19%,9.47%,senior,data science manager
36,Data Architect,3,0.56%,10.03%,intermediate,data engineer
37,Data Architect / Scientist,1,0.19%,10.22%,intermediate,data engineer
38,Data Engineer,6,1.13%,11.35%,intermediate,data engineer
39,"Data Engineer, Analytics - Intern",1,0.19%,11.54%,intern,data engineer
40,"Data Engineer, Data Sciences",1,0.19%,11.73%,intermediate,data engineer
41,Data Integration Engineer,1,0.19%,11.92%,intermediate,data engineer
42,Data Modeler,1,0.19%,12.11%,intermediate,data engineer
43,Data Modeler/Data Management Engineer,1,0.19%,12.30%,intermediate,data engineer
44,Data Protection Services Analyst,1,0.19%,12.49%,intermediate,data analyst
45,Data Quality Analyst,1,0.19%,12.68%,intermediate,data analyst
46,Data Science,2,0.38%,13.06%,intermediate,data scientist
47,Data Science - Marketplace Optimization,1,0.19%,13.25%,intermediate,data scientist
48,Data Science / Engineering Modeler,1,0.19%,13.44%,intermediate,data engineer
49,Data Science & Analytics Director,2,0.38%,13.82%,senior,data science manager
50,Data Science & Insights Analyst,1,0.19%,14.01%,intermediate,data analyst
51,Data Science & Software Development Internship,1,0.19%,14.20%,intern,software developer
52,Data Science Analyst,7,1.32%,15.52%,intermediate,data analyst
53,DATA SCIENCE ANALYST,1,0.19%,15.71%,intermediate,data analyst
54,"Data Science Analyst, Senior",2,0.38%,16.09%,senior,data analyst
55,Data Science Architect,2,0.38%,16.47%,intermediate,data engineer
56,Data Science Associate,2,0.38%,16.85%,intermediate,data scientist
57,Data Science Associate Specialist,1,0.19%,17.04%,intermediate,data scientist
58,Data Science Consultant,1,0.19%,17.23%,senior,data scientist
59,Data Science consultants,1,0.19%,17.42%,senior,data scientist
60,Data Science Director,1,0.19%,17.61%,senior,data science manager
61,Data Science Engineer,7,1.32%,18.93%,intermediate,data engineer
62,Data Science Evangelist,2,0.38%,19.31%,intermediate,data scientist
63,Data Science for Curation Intern,1,0.19%,19.50%,intern,data scientist
64,Data Science Intern,18,3.39%,22.89%,intern,data scientist
65,Data Science Intern - Summer,1,0.19%,23.08%,intern,data scientist
66,"Data Science Intern, Summer",1,0.19%,23.27%,intern,data scientist
67,Data Science Internship,2,0.38%,23.65%,intern,data scientist
68,"Data Science Internship - DCPI, Fall",1,0.19%,23.84%,intern,data scientist
69,Data Science Internship - Summer,1,0.19%,24.03%,intern,data scientist
70,Data Science Lead,1,0.19%,24.22%,senior,data scientist
71,Data Science Management Associate,1,0.19%,24.41%,intermediate,data scientist
72,Data Science Manager,12,2.26%,26.67%,senior,data science manager
73,Data Science Manager - Advanced Analytics,1,0.19%,26.86%,senior,data science manager
74,Data Science Manager - Uber Everything (NYC),1,0.19%,27.05%,senior,data science manager
75,Data Science Manager (Statistics),1,0.19%,27.24%,senior,data science manager
76,"Data Science Manager, Analytics",2,0.38%,27.62%,senior,data science manager
77,"Data Science Manager, Analytics (NYC)",1,0.19%,27.81%,senior,data science manager
78,Data Science Manager/Director,1,0.19%,28.00%,senior,data science manager
79,Data Science Post doctoral Associate,1,0.19%,28.19%,intermediate,data scientist
80,Data Science Program Lead,1,0.19%,28.38%,senior,data scientist
81,Data Science Research Intern,1,0.19%,28.57%,intern,data scientist
82,Data Science Senior Analyst,1,0.19%,28.76%,senior,data analyst
83,Data Science Senior Manager,1,0.19%,28.95%,senior,data science manager
84,Data Science Solutions Architect,1,0.19%,29.14%,intermediate,data engineer
85,Data Science Specialist,6,1.13%,30.27%,intermediate,data scientist
86,Data Science Statistician,1,0.19%,30.46%,intermediate,data scientist
87,Data Science Systems Engineer,1,0.19%,30.65%,intermediate,data engineer
88,data science/ data analyst,1,0.19%,30.84%,intermediate,data analyst
89,Data Science/Java Developer,1,0.19%,31.03%,intermediate,data scientist
90,Data Sciences Intern,1,0.19%,31.22%,intern,data scientist
91,Data Sciences Manager,1,0.19%,31.41%,senior,data science manager
92,Data Scientist,158,29.76%,61.17%,intermediate,data scientist
93,Data Scientist - CAFE,1,0.19%,61.36%,intermediate,data scientist
94,Data Scientist - Conversion,1,0.19%,61.55%,intermediate,data scientist
95,Data Scientist - Data Science/AI/Machine Learning,1,0.19%,61.74%,intermediate,data scientist
96,Data Scientist (All Levels),1,0.19%,61.93%,entry level,data scientist
97,Data Scientist (mid-level),1,0.19%,62.12%,intermediate,data scientist
98,Data Scientist II: Yield Optimization,1,0.19%,62.31%,intermediate,data scientist
99,Data Scientist III,1,0.19%,62.50%,intermediate,data scientist
100,Data Scientist III - Customer Intelligence,1,0.19%,62.69%,senior,data scientist
101,Data Scientist Intern,1,0.19%,62.88%,senior,data scientist
102,Data Scientist Intern - Summer,2,0.38%,63.26%,intern,data scientist
103,Data Scientist Multi Asset (LAM),1,0.19%,63.45%,intermediate,data scientist
104,"Data Scientist, Analytics, Intern",1,0.19%,63.64%,intern,data scientist
105,"Data Scientist, Junior",1,0.19%,63.83%,intermediate,data scientist
106,Data Scientists,1,0.19%,64.02%,intermediate,data scientist
107,Data Software Integrator,1,0.19%,64.21%,intermediate,software developer
108,Data Visualization Engineer,1,0.19%,64.40%,intermediate,data engineer
109,Data Warehouse Engineer,1,0.19%,64.59%,intermediate,data engineer
110,Data Warehouse Specialist,1,0.19%,64.78%,intermediate,data analyst
111,Data/Decision Science Analyst,2,0.38%,65.16%,intermediate,data analyst
112,"Dean, School of Science, Technology, Engineering, and Mathematics (STEM)",1,0.19%,65.35%,senior,data science manager
113,Digital Archivist - Masters Information-Library Science Intern,1,0.19%,65.54%,intern,data engineer
114,Director - Data & Analytics,1,0.19%,65.73%,senior,data science manager
115,Director - Data Sciences Product Development,1,0.19%,65.92%,senior,data science manager
116,Director Actuarial and Data Sciences,1,0.19%,66.11%,senior,data science manager
117,Director Applied Research and Data Science,1,0.19%,66.30%,senior,data science manager
118,"Director Clinical Pharmacology, Medical Science",1,0.19%,66.49%,senior,data science manager
119,Director of Data,1,0.19%,66.68%,senior,data science manager
120,Director of Data Science,5,0.94%,67.62%,senior,data science manager
121,Director of Data Science and Analytics,1,0.19%,67.81%,senior,data science manager
122,"Director of Data Science, Analytics",1,0.19%,68.00%,senior,data science manager
123,"Director, Data Science",6,1.13%,69.13%,senior,data science manager
