company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
Smith Hanley Associates,Pittsburgh, PA,Data Scientist,Staffing & Outsourcing,1-50,0,0,1,1,0,0,0,0,1,0,0,1,0,0
L.A. Care Health Plan,Los Angeles, CA,Data Scientist,Health Care Services & Hospitals,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Cross and Blue Shield of North Carolina,Charlotte, NC,Senior Data Scientist,Insurance Carriers,1001-5000,1,1,1,1,0,1,0,0,1,0,0,0,0,1
Akuna Capital,Chicago, IL,Junior Quantitative Developer- Data Infrastructure,Financial Analytics & Research,51-200,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Priceline.com,Norwalk, CT,Data Scientist,Internet,10000+,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Axiom Global,Chicago, IL,Data and Analytics Manager,Legal,1001-5000,1,0,0,1,1,1,0,0,1,0,0,0,0,0
GCP Applied Technologies,Cambridge, MA,Data Scientist,Chemical Manufacturing,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyft,San Francisco, CA,Data Analyst Intern,Transportation Management,1001-5000,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Accenture,New York, NY,Strategic Data Visualization,#N/A,10000+,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Proofpoint,Draper, UT,Data Scientist,Enterprise Software & Network Solutions,1001-5000,1,0,0,1,0,0,0,0,0,1,0,0,1,1
PayPal,San Jose, CA,Data Scientist,Internet,10000+,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Lyft,Seattle, WA,Data Scientist (All Levels),Transportation Management,1001-5000,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Walmart eCommerce,San Bruno, CA,Data Scientist Intern - Summer,Internet,1001-5000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Smith Hanley Associates,New York, NY,Head of Data Science,Staffing & Outsourcing,1-50,1,1,1,1,0,0,0,0,0,0,0,0,1,1
Monsanto Company,Saint Louis, MO,Data Scientist,Food Production,10000+,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"23andMe, Inc.",Mountain View, CA,Data Scientist,Biotech & Pharmaceuticals,201-500,1,1,0,1,0,0,0,0,0,0,0,0,0,0
The Washington Post,Washington, DC,Data Scientist,Publishing,1001-5000,1,1,0,0,1,0,0,1,0,0,0,1,1,1
IBM,Houston, TX,Entry Level Data Scientist,#N/A,10000+,1,1,1,0,1,0,0,0,0,0,0,0,1,0
Akuna Capital,Chicago, IL,"Quantitative Development Intern- Data Analysis, Summer",Financial Analytics & Research,51-200,1,0,0,0,0,0,0,0,0,0,0,0,1,0
